FLAG,ASSET NAME,ASSET ID,LAST SEEN LOCATION,LAST SEEN TIME,LOCATIONS,TYPE,LAST LATITUDE,LAST LONGITUDE,SHARED_TO,GROUPS,DESCRIPTION,COMMENT,GPS TAG,BATTERY,CREATED AT,UPDATED AT,MODEL,MAKE,SERIAL NUM
NONE,Tortoise,ESP-01-H,"Santa Cruz Island 
Av Padre Julio Herrera, Santa Cruz County, EC",6/9/2020 22:11,Isla Espanola,Giant Tortoise,-0.708178282,-90.32381773,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Santa Cruz Island 
Av Padre Julio Herrera, Santa Cruz County, EC",6/10/2020 2:02,Isla Espanola,Giant Tortoise,-0.708178282,-90.3238821,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Santa Cruz Island 
Av Padre Julio Herrera, Santa Cruz County, EC",6/10/2020 5:54,Isla Espanola,Giant Tortoise,-0.708156824,-90.32390356,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Santa Cruz Island 
Av Padre Julio Herrera, Santa Cruz County, EC",6/10/2020 9:54,Isla Espanola,Giant Tortoise,-0.708156824,-90.32386065,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Santa Cruz Island 
Av Padre Julio Herrera, Santa Cruz County, EC",6/10/2020 14:04,Isla Espanola,Giant Tortoise,-0.708146095,-90.32396793,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Santa Cruz Island 
Av Padre Julio Herrera, Santa Cruz County, EC",6/10/2020 21:55,Isla Espanola,Giant Tortoise,-0.708178282,-90.32386065,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Santa Cruz Island 
Av Padre Julio Herrera, Santa Cruz County, EC",6/11/2020 2:08,Isla Espanola,Giant Tortoise,-0.708156824,-90.3238821,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Santa Cruz Island 
Av Padre Julio Herrera, Santa Cruz County, EC",6/11/2020 10:01,Isla Espanola,Giant Tortoise,-0.708146095,-90.3238821,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Santa Cruz Island 
Unnamed Road, Puerto Ayora, EC",6/13/2020 7:01,Isla Espanola,Giant Tortoise,-0.738723278,-90.3019309,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Santa Cruz Island 
Unnamed Road, Puerto Ayora, EC",6/13/2020 14:05,Isla Espanola,Giant Tortoise,-0.738734007,-90.30182362,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Santa Cruz Island 
Unnamed Road, Puerto Ayora, EC",6/13/2020 22:53,Isla Espanola,Giant Tortoise,-0.738755465,-90.30188799,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Santa Cruz Island 
Unnamed Road, Puerto Ayora, EC",6/14/2020 9:57,Isla Espanola,Giant Tortoise,-0.73879838,-90.30188799,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Santa Cruz Island 
12 de Febrero, Puerto Ayora, EC",6/14/2020 22:01,Isla Espanola,Giant Tortoise,-0.746394396,-90.30907631,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/15/2020 13:52,Isla Espanola,Giant Tortoise,-1.366199255,-89.69261885,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/15/2020 22:06,Isla Espanola,Giant Tortoise,-1.366199255,-89.69261885,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/16/2020 5:52,Isla Espanola,Giant Tortoise,-1.366199255,-89.69261885,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/16/2020 9:52,Isla Espanola,Giant Tortoise,-1.36624217,-89.69251156,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/16/2020 14:07,Isla Espanola,Giant Tortoise,-1.368377209,-89.69006538,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/16/2020 22:08,Isla Espanola,Giant Tortoise,-1.368409395,-89.69006538,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/17/2020 2:04,Isla Espanola,Giant Tortoise,-1.368409395,-89.69006538,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/17/2020 6:01,Isla Espanola,Giant Tortoise,-1.368387938,-89.69006538,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/17/2020 9:52,Isla Espanola,Giant Tortoise,-1.368602514,-89.69000101,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/17/2020 18:07,Isla Espanola,Giant Tortoise,-1.373548508,-89.68776941,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/17/2020 22:01,Isla Espanola,Giant Tortoise,-1.373537779,-89.68776941,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/18/2020 1:52,Isla Espanola,Giant Tortoise,-1.373548508,-89.68776941,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/18/2020 5:52,Isla Espanola,Giant Tortoise,-1.373548508,-89.68776941,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/18/2020 9:58,Isla Espanola,Giant Tortoise,-1.373591423,-89.68774796,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/18/2020 14:58,Isla Espanola,Giant Tortoise,-1.37629509,-89.68712568,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/18/2020 18:07,Isla Espanola,Giant Tortoise,-1.376434565,-89.68723297,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/19/2020 1:58,Isla Espanola,Giant Tortoise,-1.376434565,-89.68723297,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/19/2020 5:52,Isla Espanola,Giant Tortoise,-1.376434565,-89.68723297,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/19/2020 14:00,Isla Espanola,Giant Tortoise,-1.378194094,-89.68738317,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/19/2020 17:52,Isla Espanola,Giant Tortoise,-1.378172636,-89.68738317,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/19/2020 21:52,Isla Espanola,Giant Tortoise,-1.377818584,-89.68734026,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/20/2020 1:52,Isla Espanola,Giant Tortoise,-1.377882957,-89.68734026,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/20/2020 6:00,Isla Espanola,Giant Tortoise,-1.377925873,-89.68738317,,,,,,,,,,,
NONE,Tortoise,ESP-01-H,"Isla Espanola 
San Cristobal County, EC",6/20/2020 19:10,Isla Espanola,Giant Tortoise,-1.382871866,-89.68708277,,,,,,,,,,,
