FLAG,ASSET NAME,ASSET ID,LAST SEEN LOCATION,LAST SEEN TIME,LOCATIONS,LAST LATITUDE,LAST LONGITUDE,SHARED_TO,TYPE,GROUPS,DESCRIPTION,COMMENT,GPS TAG,BATTERY,CREATED AT,UPDATED AT
NONE,Tortoise,ESP-12-H,"San Cristobal County, EC",2020-06-16 20:16 EDT,Isla Espanola(1 day),-1.36605978012085,-89.693455696106,"","",Espanola 15,"16064360	12	H	2-3210806
","","","",2020-06-11 16:16 EDT,2020-06-16 20:15 EDT
NONE,Tortoise,ESP-05-M,"San Cristobal County, EC",2020-06-16 19:22 EDT,Isla Espanola(1 day),-1.36440753936768,-89.6949362754822,"","",Espanola 15,"12068332	5	M	2-3210655
","","","",2020-06-11 15:53 EDT,2020-06-16 19:22 EDT
NONE,Tortoise,ESP-02-H,"San Cristobal County, EC",2020-06-16 18:58 EDT,Isla Espanola(1 day),-1.3661777973175,-89.6933698654175,"","",Espanola 15,"016300370	2	H	2-3210525
","","","",2020-06-09 21:20 EDT,2020-06-16 18:58 EDT
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-16 18:57 EDT,Isla Espanola(1 day),-1.36540532112122,-89.6932625770569,"","",Espanola 15,"051866528	14	H	2-3211142
","","","",2020-06-11 16:17 EDT,2020-06-16 18:57 EDT
NONE,Tortoise,ESP-10-H,"San Cristobal County, EC",2020-06-16 18:56 EDT,Isla Espanola(1 day),-1.3662850856781,-89.6933054924011,"","",Espanola 15,"015775105	10	H	2-3209885
","","","",2020-06-11 16:14 EDT,2020-06-16 18:56 EDT
NONE,Tortoise,ESP-03-H,"San Cristobal County, EC",2020-06-16 18:56 EDT,Isla Espanola(1 day),-1.36448264122009,-89.6948933601379,"","",Espanola 15,"015514309	3	M	2-3211047
","","","",2020-06-11 15:39 EDT,2020-06-16 18:55 EDT
NONE,Tortoise,ESP-08-H,"San Cristobal County, EC",2020-06-16 18:19 EDT,Isla Espanola(1 day),-1.36634945869446,-89.6932411193848,"","",Espanola 15,"017535372	8	H	2-3210572
","","","",2020-06-11 16:12 EDT,2020-06-16 18:19 EDT
NONE,Tortoise,ESP-11-H,"San Cristobal County, EC",2020-06-16 17:57 EDT,Isla Espanola(1 day),-1.36619925498962,-89.6933269500732,"","",Espanola 15,"017559068	11	H	2-3210163
","","","",2020-06-11 16:15 EDT,2020-06-16 17:57 EDT
NONE,Tortoise,ESP-13-H,"San Cristobal County, EC",2020-06-16 17:54 EDT,Isla Espanola(1 day),-1.36605978012085,-89.6934127807617,"","",Espanola 15,"42075028	13	H	2-3207626
","","","",2020-06-11 16:17 EDT,2020-06-16 17:54 EDT
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-16 17:34 EDT,Isla Espanola(1 day),-1.36413931846619,-89.697060585022,"","",Espanola 15,"41864112	15	M	2-3208844
","","","",2020-06-11 16:18 EDT,2020-06-16 17:34 EDT
NONE,Tortoise,ESP-09-H,"San Cristobal County, EC",2020-06-16 15:04 EDT,Isla Espanola(1 day),-1.36616706848145,-89.6931552886963,"","",Espanola 15,"016020535	9	H	2-3208797
","","","",2020-06-11 16:13 EDT,2020-06-16 15:03 EDT
NONE,Tortoise,ESP-01-H,"San Cristobal County, EC",2020-06-16 14:07 EDT,Isla Espanola(1 day),-1.36837720870972,-89.6900653839111,"","",Espanola 15,"16056375	1	H	2-3210269
","","","",2020-06-09 21:20 EDT,2020-06-16 14:06 EDT
NONE,Tortoise,ESP-04-H,"San Cristobal County, EC",2020-06-16 12:00 EDT,Isla Espanola(1 day),-1.36612415313721,-89.6936058998108,"","",Espanola 15,"16112529	4	H	2-3210885
","","","",2020-06-11 15:41 EDT,2020-06-16 11:59 EDT
NONE,Tortoise,ESP-06-H,"San Cristobal County, EC",2020-06-16 11:56 EDT,Isla Espanola(1 day),-1.36625289916992,-89.6932625770569,"","",Espanola 15,"16015526	6	H	2-3211169
","","","",2020-06-11 16:10 EDT,2020-06-16 11:55 EDT
NONE,Tortoise,ESP-07-H,"San Cristobal County, EC",2020-06-16 02:56 EDT,Isla Espanola(1 day),-1.3661777973175,-89.6935415267944,"","",Espanola 15,17030541	7	H	2-3210215,"","","",2020-06-11 16:11 EDT,2020-06-16 02:56 EDT

