FLAG,ASSET NAME,ASSET ID,LAST SEEN LOCATION,LAST SEEN TIME,LOCATIONS,LAST LATITUDE,LAST LONGITUDE,SHARED_TO,TYPE,GROUPS,DESCRIPTION,COMMENT,GPS TAG,BATTERY,CREATED AT,UPDATED AT
NONE,Tortoise,ESP-01-H,"San Cristobal County, EC",2020-06-26 02:06 EDT,Isla Espanola(11 days),-1.38206720352173,-89.686803817749,"","",Espanola 15,"16056375	1	H	2-3210269
","","","",2020-06-09 21:20 EDT,2020-06-26 02:05 EDT
NONE,Tortoise,ESP-02-H,"San Cristobal County, EC",2020-06-26 10:53 EDT,Isla Espanola(11 days),-1.36559844017029,-89.6936917304993,"","",Espanola 15,"016300370	2	H	2-3210525
","","","",2020-06-09 21:20 EDT,2020-06-26 10:52 EDT
NONE,Tortoise,ESP-03-H,"San Cristobal County, EC",2020-06-26 06:56 EDT,Isla Espanola(11 days),-1.36646747589111,-89.699399471283,"","",Espanola 15,"015514309	3	M	2-3211047
","","","",2020-06-11 15:39 EDT,2020-06-26 06:55 EDT
NONE,Tortoise,ESP-04-H,"San Cristobal County, EC",2020-06-26 12:19 EDT,Isla Espanola(11 days),-1.36762619018555,-89.6922969818115,"","",Espanola 15,"16112529	4	H	2-3210885
","","","",2020-06-11 15:41 EDT,2020-06-26 12:18 EDT
NONE,Tortoise,ESP-05-M,"San Cristobal County, EC",2020-06-26 07:21 EDT,Isla Espanola(10 days),-1.3648796081543,-89.6946144104004,"","",Espanola 15,"12068332	5	M	2-3210655
","","","",2020-06-11 15:53 EDT,2020-06-26 07:21 EDT
NONE,Tortoise,ESP-06-H,"San Cristobal County, EC",2020-06-25 16:04 EDT,Isla Espanola(11 days),-1.38159513473511,-89.7016096115112,"","",Espanola 15,"16015526	6	H	2-3211169
","","","",2020-06-11 16:10 EDT,2020-06-25 16:04 EDT
NONE,Tortoise,ESP-07-H,"San Cristobal County, EC",2020-06-26 06:56 EDT,Isla Espanola(11 days),-1.36430025100708,-89.6975755691528,"","",Espanola 15,17030541	7	H	2-3210215,"","","",2020-06-11 16:11 EDT,2020-06-26 06:55 EDT
NONE,Tortoise,ESP-08-H,"San Cristobal County, EC",2020-06-26 14:13 EDT,Isla Espanola(11 days),-1.36302351951599,-89.6987986564636,"","",Espanola 15,"017535372	8	H	2-3210572
","","","",2020-06-11 16:12 EDT,2020-06-26 14:13 EDT
NONE,Tortoise,ESP-09-H,"San Cristobal County, EC",2020-06-26 10:57 EDT,Isla Espanola(10 days),-1.36178970336914,-89.6964168548584,"","",Espanola 15,"016020535	9	H	2-3208797
","","","",2020-06-11 16:13 EDT,2020-06-26 10:57 EDT
NONE,Tortoise,ESP-10-H,"San Cristobal County, EC",2020-06-26 06:56 EDT,Isla Espanola(11 days),-1.36704683303833,-89.6953439712524,"","",Espanola 15,"015775105	10	H	2-3209885
","","","",2020-06-11 16:14 EDT,2020-06-26 06:56 EDT
NONE,Tortoise,ESP-11-H,"San Cristobal County, EC",2020-06-26 09:52 EDT,Isla Espanola(11 days),-1.36346340179443,-89.6921896934509,"","",Espanola 15,"017559068	11	H	2-3210163
","","","",2020-06-11 16:15 EDT,2020-06-26 09:52 EDT
NONE,Tortoise,ESP-12-H,"San Cristobal County, EC",2020-06-26 12:23 EDT,Isla Espanola(11 days),-1.36295914649963,-89.6989703178406,"","",Espanola 15,"16064360	12	H	2-3210806
","","","",2020-06-11 16:16 EDT,2020-06-26 12:23 EDT
NONE,Tortoise,ESP-13-H,"San Cristobal County, EC",2020-06-26 09:54 EDT,Isla Espanola(10 days),-1.36367797851563,-89.6962666511536,"","",Espanola 15,"42075028	13	H	2-3207626
","","","",2020-06-11 16:17 EDT,2020-06-26 09:54 EDT
NONE,Tortoise,ESP-14-H,"San Cristobal County, EC",2020-06-26 10:57 EDT,Isla Espanola(11 days),-1.3653838634491,-89.6936058998108,"","",Espanola 15,"051866528	14	H	2-3211142
","","","",2020-06-11 16:17 EDT,2020-06-26 10:56 EDT
NONE,Tortoise,ESP-15-M,"San Cristobal County, EC",2020-06-26 13:42 EDT,Isla Espanola(11 days),-1.36266946792603,-89.6961164474487,"","",Espanola 15,"41864112	15	M	2-3208844
","","","",2020-06-11 16:18 EDT,2020-06-26 13:41 EDT

